Ime,Država,Naziv,Classical ocena,Rapid ocena,Blitz ocena,Leto rojstva,Število iger
" Rosell, Kaj ",DEN, ,2304,0,0,1947,127
" Hove, Esben Kjems ",DEN, FM ,2303,2243,0,1966,400
" Hansen, Bjarne ",DEN, FM ,2302,0,0,1970,162
" Kistrup, Nicolai ",DEN, FM ,2302,2175,2174,2002,478
" Borgbjerg, Ejner Tatari ",DEN, FM ,2300,0,2270,1967,61
" Larsen, Steen Skovlund ",DEN, FM ,2300,0,0,1967,224
" Riis, Soren Moller ",DEN, ,2300,0,0,1957,42
" Sloth, Jorn ",DEN, FM ,2300,0,0,1944,721
" Jensen, Bjarke ",DEN, FM ,2296,0,0,1979,261
" Borbjerggaard, Lars ",DEN, IM ,2293,0,0,1974,295
" Brautsch, Soren ",DEN, ,2293,0,0,1962,212
" Schmidt, Kristen ",DEN, ,2291,0,0,1957,370
" Bang, Erik ",DEN, ,2290,0,0,1944,158
" Hovmoller, Kristian ",DEN, FM ,2290,0,0,1985,146
" Christensen, Niels ",DEN, ,2289,0,0,1971,189
" Johansen, Morten ",DEN, ,2288,0,0,1977,263
" Bang, Andreas ",DEN, FM ,2287,2192,2187,1965,295
" Dyrgaard, Kristoffer ",DEN, FM ,2286,0,2255,1987,180
" Fries-Nielsen, Niels Jorgen ",DEN, FM ,2286,2307,2316,1958,565
" Bank, Pelle ",DEN, FM ,2285,2287,2258,1971,313
" Boe, Mads ",DEN, FM ,2284,2227,2199,1968,921
" Hansen, Soren Bech ",DEN, FM ,2280,0,0,1967,439
" Sobjerg, Erik ",DEN, ,2280,0,0,1971,301
" Krogh, Carsten ",DEN, ,2279,0,0,1972,70
" Rasmussen, Casper ",DEN, FM ,2278,0,0,1972,336
" Berg, Klaus ",DEN, IM ,2277,2320,2203,1960,1848
" Pedersen, Finn ",DEN, FM ,2276,0,2269,1964,509
" Petersen, Tom Petri ",DEN, FM ,2276,0,2233,1973,331
" Petersen, Finn ",DEN, ,2275,0,0,1940,352
" Palm, Nikolaj ",DEN, FM ,2274,0,0,1974,318
" Sogaard, Soren ",DEN, ,2274,0,0,1964,162
" Lund, Silas ",DEN, IM ,2272,2392,0,1976,817
" Brondt, Nicolai Kvist ",DEN, FM ,2270,2157,0,1992,454
" Hansen, Carsten ",DEN, FM ,2270,0,0,1971,263
" Christensen, Stefan ",DEN, FM ,2267,0,0,1979,398
" Greger, Roland Reinhard ",DEN, ,2267,0,0,1968,293
" Jorgensen, Brian ",DEN, FM ,2267,0,2263,1970,381
" Pedersen, Jens Otto ",DEN, ,2265,0,0,1944,79
" Kristensen, Jorgen Juul ",DEN, ,2264,0,0,1964,120
" Matthiesen, Martin ",DEN, FM ,2263,2278,2337,1973,1116
" Christensen, Svend Ellegaard ",DEN, ,2262,2239,0,1966,78
" Skaanning-Pedersen, Kim Henrik ",DEN, ,2262,0,2210,1973,69
" Hamann, Svend ",DEN, IM ,2261,0,0,1940,772
" Hansen, Ulrik Bangsbo ",DEN, ,2260,0,0,1973,46
" Ligaard, Morten Lund ",DEN, ,2260,0,0,1974,89
" Ochsner, Thomas ",DEN, ,2257,0,0,1965,438
" Baekgaard, Martin ",DEN, FM ,2256,0,2314,1981,272
" Bjertrup, Michael ",DEN, ,2256,2156,0,1966,77
" Lindfeldt, Jan Magnus ",DEN, FM ,2256,0,0,1973,273
" Rosenkilde, Alexander ",DEN, ,2256,0,2224,1988,493
" Rathlev, Jakob ",DEN, CM ,2255,0,0,1978,187
" Josephsen, Niels ",DEN, ,2254,0,0,1967,93
" Andersen, Dan ",DEN, ,2253,2253,0,1956,134
" Meskenas, Paulius ",DEN, ,2253,1996,2009,2005,335
" Lauridsen, Jesper Morch ",DEN, FM ,2251,2187,0,1973,1403
" Overgaard, Christian Monrad ",DEN, ,2250,2150,0,1967,52
" Ostergaard, Jens ",DEN, FM ,2249,2225,2270,1968,334
" Elgaard, Brian K. ",DEN, ,2248,0,0,1974,95
" Furrer, Christian ",DEN, ,2247,2147,0,1994,61
" Sonne, Preben Kjaer ",DEN, ,2247,0,0,1964,8
" Nerlov, Claus ",DEN, ,2245,0,0,1965,50
" Rasmussen, Peter ",DEN, ,2245,0,0,1973,80
" Bogo, Soren ",DEN, ,2243,2250,0,1968,54
" Jacobsen, Bo ",DEN, ,2241,0,0,1948,1257
" Kongsted, Halfdan ",DEN, ,2240,0,0,1972,123
" Liu, Casper ",DEN, FM ,2240,2224,2221,2005,429
" Bergmann, Jesper ",DEN, ,2235,0,0,1955,34
" Holm, Thomas ",DEN, ,2235,0,0,1954,24
" Haubro, Sigfred ",DEN, ,2234,0,2149,1961,270
" Meyer, Lars A. ",DEN, FM ,2231,0,2297,1965,239
" Jorgensen, Michael Brunsgaard ",DEN, ,2229,0,0,1965,42
" Jorgensen, Per Henrik Dorff ",DEN, ,2229,2201,0,1963,295
" Hellegaard, Carsten ",DEN, ,2228,0,0,1973,65
" Larsen, Ole ",DEN, ,2228,2244,0,1949,137
" Prien, Thore ",DEN, ,2228,0,0,1975,28
" Radil, Casper ",DEN, ,2228,0,0,1978,17
" Jensen, Rene Skree ",DEN, FM ,2227,0,0,1962,9
" Moller, Morten Kock ",DEN, ,2227,0,0,1985,52
" Stojanovski, Sandi ",DEN, FM ,2225,2303,0,1970,846
" Struch, Thomas ",DEN, ,2222,0,0,1979,111
" Gallmeyer, Peter ",DEN, ,2221,0,0,1948,66
" Lund, Martin ",DEN, ,2221,0,0,1984,49
" Skousen, Nikolai ",DEN, FM ,2221,0,0,1973,222
" Fischer-Nielsen, Jesper ",DEN, ,2220,0,0,1968,35
" Andersen, Jan Ivan ",DEN, ,2219,0,0,1958,106
" Kristensen, Bjarke Hautop ",DEN, ,2219,2199,0,2000,701
" Knudsen, Per ",DEN, FM ,2218,0,0,1959,166
" Pedersen, Daniel Vesterbaek ",DEN, FM ,2217,2143,2144,1975,660
" Pedersen, Henrik Dahl ",DEN, ,2216,2257,2168,1976,323
" Andreasen, Per Naesby ",DEN, FM ,2215,0,0,1955,498
" Leisner, Uffe ",DEN, ,2215,0,0,1966,4
" Pedersen, Karl ",DEN, ,2215,0,0,1940,282
" Reuter, Filip ",DEN, ,2214,0,0,1971,12
" Nielsen, Anders Bodholt ",DEN, ,2213,0,0,1983,53
" Nielsen, Michael ",DEN, ,2213,0,0,1983,325
" Simonsen, Carsten ",DEN, ,2213,0,0,1956,65
" Laursen, Christopher Hofman ",DEN, ,2212,0,2164,1972,48
" Kristensen, Kaare Hove ",DEN, IM ,2210,2279,2306,1965,572
" Veng, Johnni ",DEN, FM ,2210,2255,0,1980,239
" Christensen, Thomas ",DEN, ,2208,0,2177,1972,539
" Larsen, Karsten ",DEN, FM ,2207,0,2141,1967,501
" Pedersen, Gunnar ",DEN, CM ,2207,2192,2191,1960,155
" Nielsen, Thomas Bach ",DEN, ,2206,0,0,1969,266
" Le Besq, Alexander ",DEN, ,2204,2108,2179,2000,95
" Henriksen, Bo ",DEN, ,2203,0,0,1971,54
" Kaspersen, Morten ",DEN, ,2200,0,0,1961,143
" Rosenlund, Thorbjorn ",DEN, ,2198,0,0,1951,331
" Schou-Moldt, Thomas ",DEN, ,2198,2243,0,1967,400
" Hartung-Nielsen, Jens ",DEN, ,2197,2154,0,1952,703
" Seegert, Kristian ",DEN, ,2197,0,0,1994,231
" Bekker-Jensen, David ",DEN, FM ,2196,2182,2224,1978,730
" Bindzus, Niels ",DEN, ,2196,0,0,1985,54
" Christensen, Paw ",DEN, ,2196,0,0,1973,22
" Grove, Peter ",DEN, ,2195,0,2292,1990,257
" Lonborg, Morten ",DEN, ,2195,0,0,1975,158
" Mikkelsen, Ole H. ",DEN, ,2195,0,0,1976,0
" Light, Bjarne ",DEN, CM ,2194,2233,0,1964,258
" Marcussen, Anders ",DEN, ,2193,0,0,1967,49
" Clausen, Steen ",DEN, ,2191,0,0,1956,300
" Stentebjerg-Hansen, Per ",DEN, ,2191,0,0,1961,182
" Hansen, Alexei Cherstiouk ",DEN, ,2190,0,0,1991,131
" Nielsen, Steffen ",DEN, ,2190,0,0,1975,81
" Nielsen, Lars Aaes ",DEN, FM ,2189,0,0,1973,375
" Kaysfeld, Henrik ",DEN, ,2188,0,0,1963,10
" Van Dijk, Thomas ",DEN, ,2188,0,0,1979,20
" Kaaber-Hansen, Jacob ",DEN, ,2187,0,0,1979,203
" Hoyer, Jacob ",DEN, ,2186,2222,2192,1970,100
" Larsen, Peter ",DEN, ,2186,0,2310,1966,288
" Holm, Sejer ",DEN, FM ,2183,0,0,1939,485
" Norregaard, Christoffer ",DEN, ,2183,0,0,1950,32
" Pedersen, Hans Buus ",DEN, ,2183,0,0,1955,144
" Vesterli, Michael E. ",DEN, ,2183,0,0,1995,359
" Alkaersig, Ole ",DEN, ,2182,0,0,1954,198
" Askgaard, Jens ",DEN, ,2182,0,0,1976,169
" Laursen, Niels Norskov ",DEN, FM ,2182,2220,0,1977,379
" Petersen, Soren Boeck ",DEN, ,2182,0,0,1971,227
" Nguyen, Michael ",DEN, ,2181,0,0,1989,74
" Nielsen, Poul Erik ",DEN, ,2181,0,2140,1953,426
" Rewitz, Poul ",DEN, FM ,2181,0,2312,1962,992
" Jensen, Jakob Kjaer ",DEN, ,2180,0,0,1980,79
" Frederiksen, John ",DEN, ,2179,0,0,1964,16
" Jorgensen, Brian Jorgen ",DEN, ,2179,0,0,1970,885
" Rendboe, John Filip ",DEN, FM ,2179,2116,0,1965,519
" Jakobsen, Peter ",DEN, FM ,2178,2223,0,1966,431
" Svendsen, Mads B ",DEN, ,2178,0,2088,1982,71
" Jensen, Jakob Bjerre ",DEN, ,2177,2175,0,1970,0
" Jepsen, Thomas Stausholm ",DEN, ,2177,0,0,1959,55
" Nielsen, Soren Holst ",DEN, ,2177,0,2092,1969,121
" Skjoldan, Benjamin ",DEN, ,2177,0,0,1989,215
" Jensen, Tobias Ilsoe ",DEN, ,2176,0,2060,1997,106
" Meyling, Morten ",DEN, ,2175,0,0,1961,50
" Poulsen, Allan ",DEN, FM ,2175,0,0,1948,347
" Rhee, Alexander ",DEN, ,2175,0,0,1987,138
" Jepsen, Svend ",DEN, ,2174,0,0,1971,1
" Nielsen, Max ",DEN, ,2174,0,0,1972,387
" Nielsen, Simon Saito ",DEN, ,2174,0,0,1984,37
" Damm, Kasper Wilken ",DEN, ,2173,2193,0,1977,126
" Hansen, Lars ",DEN, ,2173,2202,2238,1970,671
" Bohlke, Christian ",DEN, ,2172,0,0,1983,53
" Thestrup, Sixten ",DEN, ,2172,2121,2128,1989,149
" Korff, Kim ",DEN, ,2170,0,0,1973,33
" Hirtsgaard, Niels ",DEN, ,2169,0,0,1955,28
" Pedersen, Hans Dahl ",DEN, ,2168,2177,2068,1948,350
" Abildlund, Jens ",DEN, ,2167,2179,0,1958,85
" Holmsgaard, Henrik ",DEN, ,2167,2233,0,1962,470
" Leimand, Jens Christian ",DEN, ,2167,0,0,1977,24
" Rygaard, Mikkel ",DEN, ,2167,0,0,1979,14
" Andersen, Morten ",DEN, ,2166,0,0,1960,320
" Fogh, Jens Olaf Svanholm ",DEN, ,2166,2112,2123,1989,123
" Loftgaard, Mikkel Vinh ",DEN, CM ,2166,2014,0,2006,76
" Sorensen, Torben Kyhl ",DEN, ,2165,0,0,1974,98
" Brinck-Claussen, Bjorn ",DEN, IM ,2164,2200,0,1942,1768
" Olsen, Peter Erik ",DEN, ,2164,0,2270,1966,296
" Steffensen, Torben Molgaard ",DEN, ,2163,0,0,1969,29
" Jensen, Kristian Kjaer ",DEN, ,2162,0,0,1978,1
" Kjaerbye, Michael ",DEN, ,2162,0,0,1951,45
" Graves, Peter ",DEN, ,2161,2111,0,1969,27
" Thorsbro, Peter ",DEN, ,2161,2173,2150,1975,317
" Koch, Soren Andreas ",DEN, ,2160,0,0,1962,85
" Olsen, Nils Linde ",DEN, FM ,2160,0,0,1960,101
" Borovnica, Tihomir ",DEN, ,2159,0,2268,1962,43
" Lindholt, Malik ",DEN, CM ,2159,2073,0,1977,78
" Easwaralingam, Adesh ",DEN, ,2157,2208,2106,2003,284
" Hoiberg, Nina ",DEN, WIM ,2156,2171,0,1956,967
" Jorgensen, Jorgen ",DEN, FM ,2156,0,0,1945,396
" Maarup, Michael ",DEN, ,2156,0,0,1965,29
" Christensen, Jan Schleicher ",DEN, ,2155,2222,2229,1962,77
" Frantsen, Tom ",DEN, ,2155,0,0,1965,36
" Harholm, Jes Uffe ",DEN, ,2155,0,0,1966,73
" Johansen, Torben Ostergren ",DEN, ,2155,0,0,1969,18
" Koch-Muller, Oscar ",DEN, ,2155,0,1868,2004,184
" Kovshoj, Sune ",DEN, CM ,2155,0,0,1988,70
" Wieth-Klitgaard, Peter ",DEN, ,2154,2058,0,1966,37
" Christensen, Thomas ",DEN, CM ,2153,2150,2130,1976,539
" Brorsen, Jacob Abildlund ",DEN, ,2151,2183,0,1991,323
" Garbrecht, Jan ",DEN, ,2150,0,0,1961,2
" Gemzoe, Jacob ",DEN, ,2150,0,0,1968,75
" Hansen, Hans Henrik ",DEN, ,2150,0,0,1961,41
" Ostner, Magnus ",DEN, ,2150,0,0,1973,13
" Andersen, Kaare Vissing ",DEN, ,2149,0,0,1948,123
" Norby, Peter H. ",DEN, ,2149,0,0,1940,210
" Wilbrandt, Simon Pil ",DEN, ,2149,0,2137,1994,95
" Rasmussen, Henning ",DEN, CM ,2148,0,0,1982,492
" Thuesen, Mogens ",DEN, ,2148,2140,0,1957,650
" Vollertsen, Robert ",DEN, ,2148,0,0,1974,5
" Juul, Kristian Vinter ",DEN, ,2147,0,0,1968,3
" Sondergaard, Lars Breinholt ",DEN, ,2147,0,0,1975,0
" Akdag, Dara ",DEN, ,2146,2184,0,1992,520
" Andersen, Jacob ",DEN, ,2146,0,0,1977,29
" Kristensen, Brian ",DEN, ,2146,0,0,1966,70
" Nilssen, Ellen Fredericia ",DEN, WFM ,2146,2071,2092,2001,705
" Petersen, Peter Birk ",DEN, ,2146,2120,2115,1945,459
" Andersen, Frank ",DEN, ,2145,0,0,1956,488
" Christensen, Lasse ",DEN, ,2145,2177,0,1966,102
" Grand, Hans-Henrik ",DEN, ,2145,0,0,1968,89
" Jacobsen, Mads-Holger ",DEN, ,2145,0,0,1996,161
" Nielsen, Rene O. ",DEN, ,2145,0,0,1961,77
" Hansen, Stig ",DEN, ,2144,0,0,1963,356
" Jensen, Lars Munk ",DEN, ,2144,0,0,1968,10
" Klitgaard, Thomas ",DEN, ,2144,2227,0,1982,100
" Noe, John ",DEN, ,2144,0,0,1969,42
" Bangsbro, Allan ",DEN, ,2143,0,0,1969,26
" Pedersen, Svend ",DEN, ,2143,0,0,1947,333
" Lowenstein, Nicolai ",DEN, ,2141,0,0,1967,49
" Pedersen, Jacob Bang ",DEN, ,2141,2033,2109,1970,62
" Rasmussen, Bo ",DEN, ,2141,0,0,1971,60
" Kristensen, Kasper ",DEN, ,2140,0,0,1982,59
" Lindestrom, Torsten ",DEN, ,2140,0,0,1964,159
" Hansen, Evgenia ",DEN, WIM ,2139,0,0,1968,132
" Jakobsen, Martin Skov ",DEN, ,2139,0,0,1979,25
" Jorgensen, Dennis ",DEN, ,2139,0,0,1971,351
" Nielsen, Nicholas ",DEN, ,2139,0,0,1982,119
" Andersen, Soren P. ",DEN, ,2138,0,0,1967,177
" Schmidt, Tommy B. ",DEN, ,2137,2127,0,1975,119
" Bank Friis, Carsten ",DEN, FM ,2136,0,2203,1960,221
" Korolev, Nikolaj ",DEN, ,2136,0,0,1986,107
" Hansen, Kasper ",DEN, ,2135,0,2179,1975,67
" Jensen, Torben W. ",DEN, ,2135,0,0,1975,32
" Larsen, Pelle O. ",DEN, ,2135,0,0,1975,65
" Norr, Michael ",DEN, ,2135,0,0,1968,0
" Windelboe, Werner ",DEN, ,2135,0,0,1961,36
" Andersen, Soren Bull ",DEN, ,2134,2079,2106,1967,46
" Kolbak, Jens ",DEN, ,2134,0,0,1945,589
" Vester, Finn ",DEN, ,2134,0,0,1943,35
" Andersen, Ivan Normann ",DEN, ,2133,0,0,1958,116
" Christensen, Janus ",DEN, CM ,2133,2157,2135,1979,246
" Einersen, Eivind ",DEN, ,2133,0,0,1969,69
" Nielsen, Dagh ",DEN, ,2133,0,0,1976,35
" Larsen, Flemming Bo ",DEN, FM ,2132,0,2182,1965,123
" Frederiksen, Henrik ",DEN, ,2131,0,0,1964,111
" Pedersen, Martin Rosenkilde ",DEN, ,2131,2138,0,1970,97
" Carlskov, Thorstein ",DEN, ,2130,0,0,1971,23
" Hagen, Kresten Skytte ",DEN, ,2130,0,0,1976,56
" Skovgaard, Peter ",DEN, ,2130,0,0,1966,420
" Thybo, Thomas Sondergaard ",DEN, ,2130,2030,0,2002,246
" Andersen, Ib Hother ",DEN, ,2129,2156,0,1964,250
" Bjorntoft, Peter ",DEN, ,2129,0,0,1973,70
" Nielsen, Flemming Ekas ",DEN, ,2129,0,0,1960,13
" Moe, Mogens ",DEN, FM ,2128,2207,0,1944,722
" Andersen, Jorn B. ",DEN, ,2127,0,0,1960,30
" Bogdanov, Dimitri ",DEN, ,2127,2107,0,1968,207
" Kragh, Niels Kristian ",DEN, ,2127,0,0,1982,216
" Laustsen, Lars ",DEN, ,2127,2104,0,1973,225
" Nielsen, Jan ",DEN, ,2127,0,0,1970,322
" Nielsen, Michael ",DEN, ,2127,0,0,1969,325
" Grabow, Pouelsten Holm ",DEN, ,2126,2043,2066,1947,305
" Hartvig, Ove Weiss ",DEN, FM ,2126,0,0,1963,519
" Huskic, Senad ",DEN, ,2126,0,0,1960,0
" Laursen, Niels ",DEN, ,2126,0,0,1957,49
" Moller, Sophus Mechlenburg ",DEN, ,2126,2034,2026,2000,68
" Pedersen, Thomas Vils ",DEN, ,2126,0,0,1966,65
" Hundeboll, Flemming ",DEN, ,2125,2181,0,1958,3
" Ronsted, Torben ",DEN, ,2125,0,2113,1975,76
" Hald Falkesgaard, Jeppe ",DEN, ,2124,1971,1965,2008,208
" Hansen, Henrik Michael ",DEN, ,2124,0,0,1966,78
" Hjorth, Torben ",DEN, ,2124,0,0,1958,97
" Smith-Jensen, Kasper ",DEN, ,2124,0,0,1981,38
" Hansen, Stefan ",DEN, ,2123,0,2065,1975,79
" Nielsen, Jacob Woge ",DEN, ,2123,2028,0,1960,61
" Poulsen, Iver ",DEN, ,2123,0,0,1955,298
" Smedemark, Henrik ",DEN, ,2123,0,0,1963,26
" Hornsgaard, Jens Boe ",DEN, ,2122,0,0,1975,60
" Ostergaard, Rasmus ",DEN, ,2122,0,0,1975,143
" Pedersen, Torben Rosholm ",DEN, ,2122,0,0,1978,10
" Hansen, Jens Bo ",DEN, ,2121,0,0,1967,19
" Pedersen, Christopher R.N.H. ",DEN, ,2121,2127,0,1986,143
" Grosbol-Rais, Eddie ",DEN, ,2120,0,0,1963,23
" Klausen, Soren ",DEN, ,2120,0,0,1962,18
" Madsen, Poul Henrik ",DEN, ,2119,0,0,1964,196
" Krabbe, Daniel ",DEN, ,2118,0,0,1983,57
" Nielsen, Tommy ",DEN, ,2118,0,0,1961,136
" Jaksland, Tim ",DEN, FM ,2117,2205,2203,1967,568
" Nielsen, Jesper Arwid ",DEN, ,2116,0,0,1972,32
" Wiecker, Stefan ",DEN, ,2116,0,0,1989,189
" Andersen, Ib ",DEN, ,2115,0,0,1953,165
" Christensen, Christian Sylvester ",DEN, ,2115,0,0,1969,31
" Dongart, Dennis ",DEN, ,2115,0,0,1977,124
" Homuth, Kim ",DEN, ,2115,0,0,1976,21
" Jensen, Vagn ",DEN, ,2115,0,0,1948,456
" Larsen, Peter M. ",DEN, ,2115,0,0,1977,12
" Harboe, Johnny ",DEN, ,2114,0,0,1977,2
" Sorensen, Morten Schonberg ",DEN, ,2114,0,0,1961,8
" Henriksen, Palle V. ",DEN, ,2113,0,0,1940,125
" Jorgensen, Soren Berg ",DEN, ,2113,0,0,1973,37
" Kristensen, Peter ",DEN, ,2113,2044,2031,1994,56
" Kwapinski, Leszek ",DEN, ,2113,0,0,1983,69
" Schyberg, Brian ",DEN, ,2113,0,0,1967,71
" Ejsing, Esben ",DEN, ,2112,0,0,1959,258
" Hallundbaek, Aksel Wetke ",DEN, ,2112,0,0,2004,4
" Madsen, Hans-Henrik ",DEN, ,2112,0,0,1966,172
" Rej, Dennis ",DEN, ,2112,0,0,1962,152
" Christensen, Niels Bech ",DEN, ,2111,0,0,1973,46
" Poulsen, Kent ",DEN, ,2111,0,0,1957,3
" Sorensen, Jan Becher ",DEN, ,2111,0,0,1961,0
" Andersen, Sune Rej ",DEN, ,2110,0,0,1973,26
" Kimose, Allan ",DEN, ,2110,0,0,1965,0
" Sorensen, Kristine Thornvig ",DEN, ,2110,0,0,1971,12
" Nording, Jens ",DEN, ,2109,0,0,1970,10
" Paaske, Asger ",DEN, ,2109,0,0,1966,209
" Henriksen, Kasper ",DEN, ,2108,0,0,1982,73
" Clerico, Antonio ",DEN, ,2107,0,0,1964,30
" Rasmussen, Uffe ",DEN, ,2107,0,0,1980,65
" Simonsen, Jesper ",DEN, ,2107,0,2080,1964,48
" Pedersen, Lars ",DEN, ,2106,0,0,1965,160
" Rasmussen, Per Arnt ",DEN, ,2106,0,0,1964,128
" Hermannsen, Allan Schmidt ",DEN, ,2105,0,0,1966,29
" Nordenbaek, Jan ",DEN, ,2105,2247,2171,1966,534
" Eriksson, Christian Altenburg ",DEN, ,2104,2107,2060,1972,549
" Skou, Niels ",DEN, ,2104,2092,2010,1961,125
" Sorensen, Preben ",DEN, ,2103,0,0,1947,38
" Sterup, Sebastian ",DEN, ,2103,2003,0,2001,16
" Svenninggaard, Thomas ",DEN, ,2103,0,0,1969,30
" Hardlei, Johan ",DEN, ,2102,2002,2039,2000,70
" Kolvig, Bent ",DEN, ,2102,0,0,1933,265
" Schack, Asbjorn Hovgaard ",DEN, ,2102,0,0,2002,53
" Vasova, Maria ",DEN, WFM ,2102,2002,2002,1998,400
" Jensby, Morten ",DEN, ,2101,0,0,1971,12
" Ejdum, Soren ",DEN, ,2100,0,0,1952,39
" Grubert, Christian ",DEN, CM ,2099,0,0,1976,148
" Hoiberg, Erling ",DEN, ,2099,0,0,1946,113
" Skow, Jannick ",DEN, ,2099,0,0,1975,0
" Antreasyan, Erol ",DEN, ,2098,0,0,1967,23
" Beyerholm, Arne ",DEN, ,2098,2059,0,1971,26
" Bojsen, Jesper ",DEN, ,2098,0,0,1967,17
" Buhl, Poul ",DEN, ,2098,0,0,1962,80
" Ertbjerg, Carsten ",DEN, ,2098,0,0,1963,11
" Jessen, Simon Pind ",DEN, ,2098,2101,2029,1978,98
" Pedersen, Dimon Poul ",DEN, ,2098,2085,0,1967,50
" Pedersen, Peter Brondt ",DEN, ,2097,2171,0,1962,426
" Rohmann-Sonderby, Soren ",DEN, ,2097,0,0,1990,2
" Danstrup, Niels ",DEN, ,2096,0,0,1953,58
" Bove Quist, Viggo ",DEN, ,2095,0,2111,1949,123
" Jonovic, Velibor ",DEN, ,2095,0,0,1953,28
" Montgomery, Jan Elkjaer Frantsen ",DEN, ,2095,2086,2136,1964,73
" Oe, Michael ",DEN, ,2095,0,0,1969,8
" Skjoldager, Per ",DEN, ,2095,2096,2042,1958,176
" Hansen, Claus ",DEN, ,2094,0,0,1974,11
" Nielsen, Jorgen G. ",DEN, ,2094,0,0,1942,234
" Rossen, Claus ",DEN, ,2094,2132,0,1961,517
" Bruun, Henrik Emil ",DEN, ,2092,2104,0,1970,125
" Hansen, Martin Strandby ",DEN, CM ,2092,0,2082,1980,29
" Nielsen, Finn Winther ",DEN, ,2091,0,0,1962,19
" Olsen, Miriam F ",DEN, ,2091,2045,0,1988,256
" Rasmussen, Peter Moller ",DEN, ,2091,0,0,1979,0
" Sinkbaek, Aage ",DEN, ,2091,0,0,1944,84
" Andersen, Soren Mikkel ",DEN, ,2090,2103,0,1981,224
" Christiansen, Jens Jorgen ",DEN, ,2090,0,0,1951,377
" Poulsen, Morten Kjaer ",DEN, ,2090,0,0,1986,27
" Lodahl, Carsten ",DEN, ,2089,0,0,1968,8
" Mikkelsen, Peter Jorgen Dam ",DEN, ,2088,0,0,1953,27
" Pedersen, Carsten ",DEN, ,2088,2079,2001,1965,407
" Poulsen, Kim Hjort ",DEN, ,2088,0,0,1971,16
" Andersen, Tom Juul ",DEN, ,2087,0,0,1954,39
" Hartling, Svend ",DEN, ,2087,0,0,1954,10
" Skonnord, Uno ",DEN, ,2087,2080,1987,1992,32
" Firooznia, Farzam ",DEN, ,2086,0,0,1997,26
" Kirknel, Thomas ",DEN, ,2086,2012,2070,1966,71
" Madsen, Michael Ole ",DEN, ,2086,0,0,1968,146
" Rewitz, Jan ",DEN, ,2086,0,2060,1954,65
" Hansen, Johnny Hvam ",DEN, ,2085,0,0,1949,50
" Lund, Jens Christian ",DEN, ,2085,0,0,1946,11
" Olsen, Michael R. W. ",DEN, ,2085,2039,2039,1978,58
" Rasmussen, Rene ",DEN, ,2085,0,0,1970,21
" Schutze, Hasso ",DEN, ,2085,0,0,1945,45
" Gadegaard, Klaus ",DEN, ,2084,0,0,1954,1
" Pedersen, Jan Rode ",DEN, ,2084,0,0,1949,154
" Winther, Jes Anders ",DEN, ,2084,0,0,1954,10
" Gjesme, Marius Enevold ",DEN, ,2083,0,0,1997,8
" Grotkjaer, Thomas ",DEN, ,2083,0,0,1974,39
" Joyce, Stephen ",DEN, ,2083,0,0,1979,6
" Pedersen, Henrik Bolding ",DEN, ,2083,0,0,1963,248
" Schultz-Pedersen, Jesper ",DEN, ,2083,2103,0,1956,290
" Christensen, John ",DEN, ,2082,0,0,1956,183
" Holst, Per ",DEN, ,2082,0,0,1950,277
" Sorensen, Lars Desmond ",DEN, ,2082,0,0,1975,13
" Houlberg, Kim ",DEN, ,2081,0,0,1959,1
" Pedersen, Rune Linnebo ",DEN, ,2081,0,0,1983,36
" Bonnerup, Ebbe ",DEN, ,2080,0,0,1952,20
" Hougaard, Lars Gjortz ",DEN, ,2080,0,0,1967,4
" Vej, Jesper ",DEN, ,2080,2127,0,1955,51
" Hansen, Morten Moller ",DEN, ,2079,0,0,1968,249
" Tolstrup, Brian ",DEN, ,2079,0,0,1972,21
" Isaksen, Brian ",DEN, ,2078,0,0,1954,142
" Madsen, Michael B. ",DEN, ,2078,2143,0,1987,114
" Salomonsen, Jesper ",DEN, ,2078,0,0,1958,2
" Christensen, Bo Garner ",DEN, ,2077,2193,0,1964,462
" Erichsen, Dan ",DEN, ,2077,0,0,1976,189
" Hansen, John ",DEN, ,2077,1979,0,1959,166
" Husted, Peter ",DEN, ,2077,0,2079,1954,200
" Klausen, Jesper ",DEN, ,2077,0,0,1957,2
" Andersen, Erik Andre ",DEN, ,2076,2039,0,1952,8
" Ostersen, Kjeld ",DEN, ,2076,0,0,1966,48
" Schutz, Robert ",DEN, ,2076,0,0,1974,11
" Almind, Heinrick Dalsgaard ",DEN, ,2075,0,0,1976,7
" Jakobsen, Michael ",DEN, ,2075,0,0,1968,3
" Lauritsen, Martin Lee ",DEN, ,2075,2112,2172,1987,238
" Poulsen, Klaus E. ",DEN, ,2075,0,0,1961,95
" Gregor, Bjarke ",DEN, ,2074,2052,0,1992,110
" Hansen, Sune Normann ",DEN, ,2074,0,0,1975,55
" Kryger, Oksana ",DEN, WIM ,2074,2084,0,1982,538
" Nielsen, Niels-Peter ",DEN, ,2074,2095,0,1963,160
" Petersen, Steen ",DEN, ,2074,2120,0,1976,840
" Andersen, Ole Bo ",DEN, ,2073,0,0,1966,160
" Andreasen, Bjarke ",DEN, ,2073,0,0,1988,28
" Nielsen, John Bauneborg ",DEN, ,2073,0,0,1963,271
" Bering, Steen Vitus ",DEN, ,2072,0,0,1972,1
" Jorgensen, Rasmus ",DEN, ,2072,2059,0,1981,158
